objectid,filename,title,description,source,subject,identifier,material,set size,roll surfaces,type,format,location,date
coll001,20211028_192901.jpg,Honey Yellow,yellow translucent dice set with black inked numbers,,Yellow,set from partner's collection,Resin,Standard,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,paladin bag,2013
coll002,20211028_193057.jpg,Layered Chasm,"black, red, and blue dice set with gold inking",,Blue; Red; Black,set from partner's collection,Resin,Standard,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,paladin bag,2020-12
coll003,20211028_192733.jpg,Orange Flames,orange and yellow dice set with white inking,,Orange,set from partner's collection,Resin,Standard,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,paladin bag,2020-12
coll004,20211028_191921.jpg,Paladin Royalty,blue dice set with gold trim and numbers (metal),,Blue; Gold,set from partner's collection,Metal,Large,all except wood towers,Image;StillImage,image/jpeg,dragonskin bag,2020-12
coll005,20211028_192810.jpg,Robin's Galaxy,blue and purple dice set with gold inking,,Blue; Purple,set from partner's collection,Resin,Standard,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,paladin bag,2020-12
coll006,20211028_192027.jpg,Royal Blue and Gold,blue dice set with silver lining and numbers (metal),Etsy (myhomelivingsupply),Blue; Silver,"while blue and gold was ordered, the set that arrived was blue and silver; set from partner's collection",Metal,Standard,all except wood towers,Image;StillImage,image/jpeg,dragonskin bag,2020-02
coll007,20211028_193014.jpg,Sauron's Might,red and black dice set with gold inking,,Red; Black,set from partner's collection,Resin,Standard,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,paladin bag,2020-12
coll008,20211028_193134.jpg,Vortex Depths,steely grey (opaque) and blue (translucent) dice set with silver inking,,Grey; Blue,set from partner's collection,Resin,Standard,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,paladin bag,2020-12
coll009,wizard of oz sharpedge (2).jpg,Acid Arrow,green (semi-translucent) dice set with gold foil inclusions and white inking,Etsy (Viridian Gaming),Green; Gold,sharp edges,Resin,Large,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,bailey bag of holding,2021-09-27
coll010,vaporwave (1).jpg,Aquaman,"blue, green, and gold die set with white inking",Etsy (Viridian Gaming),Green; Black,spaceman font,Resin,Large,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,bailey bag of holding,2021-09-17
coll011,peekapurple (2).jpg,Arcane Lavender,light purple (semi-translucent) dice set with dark purple swirl inclusion and gold inking,Etsy (https://www.etsy.com/listing/717500413/arcane-lavender-lilac-colored-dice?ref=yr_purchases),Purple,,Resin,Standard,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,bailey bag of holding,2021-03-29
coll012,hufflepuff (2).jpg,Axial Planar Dragon,dark gold and black dice set with silver inking,Etsy (HoardingDragons),Yellow; Black,styled on hufflepuff colors,Resin,Standard,all rolling surfaces/trays/towers,Image;StillImage,image/jpeg,bailey bag of holding,2020-11-15
