objectid,filename,title,description,creator,subject,identifier,source,set size,roll surfaces,location,date,type,format,latitude,longitude
coll001,20211028_192901.jpg,Honey Yellow,yellow translucent dice set with black inked numbers,,Yellow,set from partner's collection,Resin,Standard,all rolling surfaces/trays/towers,paladin bag,2013,Image;StillImage,image/jpeg,39.27075894,-76.74180801
coll002,20211028_193057.jpg,Layered Chasm,"black, red, and blue dice set with gold inking",,Blue; Red; Black,set from partner's collection,Resin,Standard,all rolling surfaces/trays/towers,paladin bag,2020-12,Image;StillImage,image/jpeg,39.08903679,-76.70842749
coll003,20211028_192733.jpg,Orange Flames,orange and yellow dice set with white inking,,Orange,set from partner's collection,Resin,Standard,all rolling surfaces/trays/towers,paladin bag,2020-12,Image;StillImage,image/jpeg,39.08903679,-76.70842749
coll004,20211028_191921.jpg,Paladin Royalty,blue dice set with gold trim and numbers (metal),,Blue; Gold,set from partner's collection,Metal,Large,all except wood towers,dragonskin bag,2020-12,Image;StillImage,image/jpeg,39.27075894,-76.74180801
coll005,20211028_192810.jpg,Robin's Galaxy,blue and purple dice set with gold inking,,Blue; Purple,set from partner's collection,Resin,Standard,all rolling surfaces/trays/towers,paladin bag,2020-12,Image;StillImage,image/jpeg,39.08903679,-76.70842749
coll006,20211028_192027.jpg,Royal Blue and Gold,blue dice set with silver lining and numbers (metal),Etsy (myhomelivingsupply),Blue; Silver,"while blue and gold was ordered, the set that arrived was blue and silver; set from partner's collection",Metal,Standard,all except wood towers,dragonskin bag,2020-02,Image;StillImage,image/jpeg,36.55494577,104.1400619
coll007,20211028_193014.jpg,Sauron's Might,red and black dice set with gold inking,,Red; Black,set from partner's collection,Resin,Standard,all rolling surfaces/trays/towers,paladin bag,2020-12,Image;StillImage,image/jpeg,39.08903679,-76.70842749
coll008,20211028_193134.jpg,Vortex Depths,steely grey (opaque) and blue (translucent) dice set with silver inking,,Grey; Blue,set from partner's collection,Resin,Standard,all rolling surfaces/trays/towers,paladin bag,2020-12,Image;StillImage,image/jpeg,39.08903679,-76.70842749
coll009,wizard of oz sharpedge (2).jpg,Acid Arrow,green (semi-translucent) dice set with gold foil inclusions and white inking,Etsy (Viridian Gaming),Green; Gold,sharp edges,Resin,Large,all rolling surfaces/trays/towers,bailey bag of holding,2021-09-27,Image;StillImage,image/jpeg,43.06558155,-76.07619108
coll010,vaporwave (1).jpg,Aquaman,"blue, green, and gold die set with white inking",Etsy (Viridian Gaming),Green; Black,spaceman font,Resin,Large,all rolling surfaces/trays/towers,bailey bag of holding,2021-09-17,Image;StillImage,image/jpeg,43.06558155,-76.07619108
